=== Image Save Worker started ===
[17:19:47] Step 1 OK: Logging works.
[17:19:47] Step 2: Importing requests...
[17:19:47] Step 2 OK: requests imported.
[17:19:47] Step 3: Importing glob...
[17:19:47] Step 3 OK: glob imported.
[17:19:47] Step 4: Checking paths...
[17:19:47]   STOP_FILE exists:      False
[17:19:47]   NEW_IMAGE_FLAG exists: False
[17:19:47]   IMAGES_FOLDER exists:  True
[17:19:47] Step 4 OK: Folders ready.
[17:22:21] Loop alive (iteration 1900). Flag exists: False
[17:22:22] Loop alive (iteration 2240). Flag exists: False
[17:22:22] Loop alive (iteration 1540). Flag exists: False
[17:22:23] Loop alive (iteration 1400). Flag exists: False
[17:22:23] Loop alive (iteration 1920). Flag exists: False
[17:22:24] Loop alive (iteration 2260). Flag exists: False
[17:22:24] Loop alive (iteration 1560). Flag exists: False
[17:22:25] Loop alive (iteration 1420). Flag exists: False
[17:22:26] Loop alive (iteration 1940). Flag exists: False
[17:22:26] Loop alive (iteration 2280). Flag exists: False
[17:22:26] Loop alive (iteration 1580). Flag exists: False
[17:22:27] Loop alive (iteration 1440). Flag exists: False
[17:22:28] Loop alive (iteration 1960). Flag exists: False
[17:22:28] Loop alive (iteration 2300). Flag exists: False
[17:22:29] Loop alive (iteration 1600). Flag exists: False
[17:22:30] Loop alive (iteration 1460). Flag exists: False
[17:22:30] Loop alive (iteration 1980). Flag exists: False
[17:22:31] Loop alive (iteration 2320). Flag exists: False
[17:22:31] Loop alive (iteration 1620). Flag exists: False
[17:22:32] Loop alive (iteration 1480). Flag exists: False
[17:22:32] Loop alive (iteration 2000). Flag exists: False
[17:22:33] Loop alive (iteration 2340). Flag exists: False
[17:22:33] Loop alive (iteration 1640). Flag exists: False
[17:22:34] Loop alive (iteration 1500). Flag exists: False
[17:22:35] Loop alive (iteration 2020). Flag exists: False
[17:22:35] Loop alive (iteration 2360). Flag exists: False
[17:22:35] Loop alive (iteration 1660). Flag exists: False
[17:22:36] Loop alive (iteration 1520). Flag exists: False
[17:22:37] Loop alive (iteration 2040). Flag exists: False
[17:22:37] Loop alive (iteration 2380). Flag exists: False
[17:22:38] Loop alive (iteration 1680). Flag exists: False
[17:22:38] Loop alive (iteration 1540). Flag exists: False
[17:22:39] Loop alive (iteration 2060). Flag exists: False
[17:22:40] Loop alive (iteration 2400). Flag exists: False
[17:22:40] Loop alive (iteration 1700). Flag exists: False
[17:22:41] Loop alive (iteration 1560). Flag exists: False
[17:22:41] Loop alive (iteration 2080). Flag exists: False
[17:22:42] Loop alive (iteration 2420). Flag exists: False
[17:22:42] Loop alive (iteration 1720). Flag exists: False
[17:22:43] Loop alive (iteration 1580). Flag exists: False
[17:22:44] Loop alive (iteration 2100). Flag exists: False
[17:22:44] Loop alive (iteration 2440). Flag exists: False
[17:22:44] Loop alive (iteration 1740). Flag exists: False
[17:22:45] Loop alive (iteration 1600). Flag exists: False
[17:22:46] Loop alive (iteration 2120). Flag exists: False
[17:22:46] Loop alive (iteration 2460). Flag exists: False
[17:22:47] Loop alive (iteration 1760). Flag exists: False
[17:22:47] Loop alive (iteration 1620). Flag exists: False
[17:22:48] Loop alive (iteration 2140). Flag exists: False
[17:22:48] Loop alive (iteration 2480). Flag exists: False
[17:22:49] Loop alive (iteration 1780). Flag exists: False
[17:22:50] Loop alive (iteration 1640). Flag exists: False
[17:22:50] Loop alive (iteration 2160). Flag exists: False
[17:22:51] Loop alive (iteration 2500). Flag exists: False
[17:22:51] Loop alive (iteration 1800). Flag exists: False
[17:22:52] Loop alive (iteration 1660). Flag exists: False
[17:22:52] Loop alive (iteration 2180). Flag exists: False
[17:22:53] Loop alive (iteration 2520). Flag exists: False
[17:22:53] Loop alive (iteration 1820). Flag exists: False
[17:22:54] Loop alive (iteration 1680). Flag exists: False
[17:22:55] Loop alive (iteration 2200). Flag exists: False
[17:22:55] Loop alive (iteration 2540). Flag exists: False
[17:22:56] Loop alive (iteration 1840). Flag exists: False
[17:22:56] Loop alive (iteration 1700). Flag exists: False
[17:22:57] Loop alive (iteration 2220). Flag exists: False
[17:22:57] Loop alive (iteration 2560). Flag exists: False
[17:22:58] Loop alive (iteration 1860). Flag exists: False
[17:22:59] Loop alive (iteration 1720). Flag exists: False
[17:22:59] Loop alive (iteration 2240). Flag exists: False
[17:23:00] Loop alive (iteration 2580). Flag exists: False
[17:23:00] Loop alive (iteration 1880). Flag exists: False
[17:23:01] Loop alive (iteration 1740). Flag exists: False
[17:23:01] Loop alive (iteration 2260). Flag exists: False
[17:23:02] Loop alive (iteration 2600). Flag exists: False
[17:23:02] Loop alive (iteration 1900). Flag exists: False
[17:23:03] Loop alive (iteration 1760). Flag exists: False
[17:23:04] Loop alive (iteration 2280). Flag exists: False
[17:23:04] Loop alive (iteration 2620). Flag exists: False
[17:23:04] Loop alive (iteration 1920). Flag exists: False
[17:23:05] Loop alive (iteration 1780). Flag exists: False
[17:23:06] Loop alive (iteration 2300). Flag exists: False
[17:23:06] Loop alive (iteration 2640). Flag exists: False
[17:23:07] Loop alive (iteration 1940). Flag exists: False
[17:23:08] Loop alive (iteration 1800). Flag exists: False
[17:23:08] Loop alive (iteration 2320). Flag exists: False
[17:23:09] Loop alive (iteration 2660). Flag exists: False
[17:23:09] Loop alive (iteration 1960). Flag exists: False
[17:23:10] Loop alive (iteration 1820). Flag exists: False
[17:23:10] Loop alive (iteration 2340). Flag exists: False
[17:23:11] Loop alive (iteration 2680). Flag exists: False
[17:23:11] Loop alive (iteration 1980). Flag exists: False
[17:23:12] Loop alive (iteration 1840). Flag exists: False
[17:23:13] Loop alive (iteration 2360). Flag exists: False
[17:23:13] Loop alive (iteration 2700). Flag exists: False
[17:23:13] Loop alive (iteration 2000). Flag exists: False
[17:23:14] Loop alive (iteration 1860). Flag exists: False
[17:23:15] Loop alive (iteration 2380). Flag exists: False
[17:23:15] Loop alive (iteration 2720). Flag exists: False
[17:23:16] Loop alive (iteration 2020). Flag exists: False
[17:23:16] Loop alive (iteration 1880). Flag exists: False
[17:23:17] Loop alive (iteration 2400). Flag exists: False
[17:23:18] Loop alive (iteration 2740). Flag exists: False
[17:23:18] Loop alive (iteration 2040). Flag exists: False
[17:23:19] Loop alive (iteration 1900). Flag exists: False
[17:23:19] Loop alive (iteration 2420). Flag exists: False
[17:23:20] Loop alive (iteration 2760). Flag exists: False
[17:23:20] Loop alive (iteration 2060). Flag exists: False
[17:23:21] Loop alive (iteration 1920). Flag exists: False
[17:23:22] Loop alive (iteration 2440). Flag exists: False
[17:23:22] Loop alive (iteration 2780). Flag exists: False
[17:23:22] Loop alive (iteration 2080). Flag exists: False
[17:23:23] Loop alive (iteration 1940). Flag exists: False
[17:23:24] Loop alive (iteration 2460). Flag exists: False
[17:23:24] Loop alive (iteration 2800). Flag exists: False
[17:23:25] Loop alive (iteration 2100). Flag exists: False
[17:23:25] Loop alive (iteration 1960). Flag exists: False
[17:23:26] Loop alive (iteration 2480). Flag exists: False
[17:23:27] Loop alive (iteration 2820). Flag exists: False
[17:23:27] Loop alive (iteration 2120). Flag exists: False
[17:23:28] Loop alive (iteration 1980). Flag exists: False
[17:23:28] Loop alive (iteration 2500). Flag exists: False
[17:23:29] Loop alive (iteration 2840). Flag exists: False
[17:23:29] Loop alive (iteration 2140). Flag exists: False
[17:23:30] Loop alive (iteration 2000). Flag exists: False
[17:23:31] Loop alive (iteration 2520). Flag exists: False
[17:23:31] Loop alive (iteration 2860). Flag exists: False
[17:23:31] Loop alive (iteration 2160). Flag exists: False
[17:23:32] Loop alive (iteration 2020). Flag exists: False
[17:23:33] Loop alive (iteration 2540). Flag exists: False
[17:23:33] Loop alive (iteration 2880). Flag exists: False
[17:23:34] Loop alive (iteration 2180). Flag exists: False
[17:23:34] Loop alive (iteration 2040). Flag exists: False
[17:23:35] Loop alive (iteration 2560). Flag exists: False
[17:23:35] Loop alive (iteration 2900). Flag exists: False
[17:23:36] Loop alive (iteration 2200). Flag exists: False
[17:23:37] Loop alive (iteration 2060). Flag exists: False
[17:23:37] Loop alive (iteration 2580). Flag exists: False
[17:23:38] Loop alive (iteration 2920). Flag exists: False
[17:23:38] Loop alive (iteration 2220). Flag exists: False
[17:23:39] Loop alive (iteration 2080). Flag exists: False
[17:23:39] Loop alive (iteration 2600). Flag exists: False
[17:23:40] Loop alive (iteration 2940). Flag exists: False
[17:23:40] Loop alive (iteration 2240). Flag exists: False
[17:23:41] Loop alive (iteration 2100). Flag exists: False
[17:23:42] Loop alive (iteration 2620). Flag exists: False
[17:23:42] Loop alive (iteration 2960). Flag exists: False
[17:23:42] Loop alive (iteration 2260). Flag exists: False
[17:23:43] Loop alive (iteration 2120). Flag exists: False
[17:23:44] Loop alive (iteration 2640). Flag exists: False
[17:23:44] Loop alive (iteration 2980). Flag exists: False
[17:23:45] Loop alive (iteration 2280). Flag exists: False
[17:23:46] Loop alive (iteration 2140). Flag exists: False
[17:23:46] Loop alive (iteration 2660). Flag exists: False
[17:23:47] Loop alive (iteration 3000). Flag exists: False
[17:23:47] Loop alive (iteration 2300). Flag exists: False
[17:23:48] Loop alive (iteration 2160). Flag exists: False
[17:23:48] Loop alive (iteration 2680). Flag exists: False
[17:23:49] Loop alive (iteration 3020). Flag exists: False
[17:23:49] Loop alive (iteration 2320). Flag exists: False
